price_list_id,brand,seri,nama_varian,kapasitas,sku,model_indoor,model_outdoor,judul,type_ac,warna,btu,btu_range,daya_watt,daya_watt_range,kapasitas_kw,refrigerant,cspf,dimensi_indoor,berat_indoor_kg,dimensi_outdoor,berat_outdoor_kg,pipa_cair,pipa_gas,pipa_max_panjang_m,pipa_max_tinggi_m,bahan_koil,made_in,garansi,luas_ruangan_m2,fitur,deskripsi,sumber,sumber_url,diambil_pada
164,Daikin,STKE35YV,BETA Inverter,1.5 PK,FTKE35YV14,FTKE35YV14,RKE35YV14,DAIKIN FTKE35YV14 AC SPLIT 1.5 PK BETA INVERTER,AC Inverter,Putih,11900,11900 (4400 - 13000) BTU/h,1190,1190 (320 -1215) Watt,3.6,R-32,4.77,77 x 29 x 25 cm,9,68 x 55 x 29 cm,22,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",22,"12300 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Fast Cooling - Mempercepat pendinginan ruangan hingga 40% lebih cepat dengan menjaga kinerja kompresor pada kecepatan maksimum hingga suhu yang diinginkan tercapai. | Indoor dan Outdoor sudah di lapisi Blue Fin.",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkq35svm4-ac-split-1-5pk-inverter-putih-4862.html,2026-08-17
8,Daikin,STKH35YV,ALPHA Inverter,1.5 PK,FTKH35YV14,FTKH35YV14,RKH35YV14,"DAIKIN FTKH35YV14 AC SPLIT 1,5 PK ALPHA INVERTER",AC Inverter,Putih,12100,12100 (4000 - 13000) BTU/h,1020,1020 (250 - 1100) Watt,3.55,R-32,5.91,77 x 29 x 25 cm,9,68 x 55 x 29 cm,26,1/4,3/8,20,15,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",22,"12100 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkh35yv14-ac-split-1-pk-inverter-6739.html,2026-08-17
102,Daikin,STKZ35,ZETA Inverter,1.5 PK,FTKZ35XVM4,FTKZ35XVM4,RKZ35XVM4,"DAIKIN FTKZ35XVM4 AC SPLIT 1,5 PK ZETA INVERTER THAILAND",AC Inverter,Putih,11900,11900 (4100 - 14000) BTU/h,790,790 (160 - 1120) Watt,3.5,R-32,7.43,92 x 24 x 30 cm,13,68 x 29 x 55 cm,27,1/4,3/8,,,,Thailand,"3 Tahun Sparepart, 3 Tahun Kompresor",22,"11900 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 3 Tahun Sparepart, 3 Tahun Kompresor. | Intelligent Eye - Intelligent Eye memiliki sensor inframerah yang mendeteksi gerakan manusia di zona kiri, kanan dan tengah. | Enzyme Blue Deodorizing Filter - Filter ini berguna untuk menghilangkan bau dan bakteri dengan daya serap yang luar biasa. Sehingga udara yang tersebar di dalam ruangan bisa didapatkan dengan maksimal. | Teknologi STREAMER - STREAMER bertugas mengurai virus, bakteri dan berbagai partikel berbahaya lainnya untuk memastikan kerja pemurnian udara berjalan optimal",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkm35svm4-ac-split-1-5pk-premium-inverter-thailand-5670.html,2026-08-17
153,Daikin,STC50YV,Standar Nusantara,2 PK,FTC50YV14,FTC50YV14,RC50YV14,DAIKIN FTC50YV14 AC SPLIT 2 PK SUPER MINI SPLIT SERIES STANDARD,AC Standard,Putih,17100,17100 BTU/h,1525,1525 Watt,5.01,R-32,3.48,77 x 29 x 25 cm,10,85 x 60 x 30 cm,43,1/4,1/2,30,20,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",31,"17100 Btu/h - Bisa mendinginkan ruangan sampai 31m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin.","Rasakan kenyamanan maksimal dengan AC Daikin SMS Series FTC-Y, model terbaru tahun 2025 yang dirancang khusus untuk kebutuhan rumah tangga di Indonesia. Diproduksi langsung di Indonesia oleh Daikin, AC ini hadir dengan desain super mini yang hemat tempat namun tetap bertenaga.",selka.id + daikin.co.id,https://www.selka.id/daikin-ftc50xv14-ac-split-2pk-standard-putih-4878.html,2026-08-17
165,Daikin,STKE50YV,BETA Inverter,2 PK,FTKE50YV14,FTKE50YV14,RKE50YV14,DAIKIN FTKE50YV14 AC SPLIT 2 PK BETA INVERTER,AC Inverter,Putih,18000,18000 (5600 - 18500) BTU/h,1520,1520 (410 -1560) Watt,5.28,R-32,5.49,77 x 29 x 25 cm,10,85 x 60 x 30 cm,35,1/4,1/2,30,20,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",32,"18000 Btu/h - Bisa mendinginkan ruangan sampai 32m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Fast Cooling - Mempercepat pendinginan ruangan hingga 40% lebih cepat dengan menjaga kinerja kompresor pada kecepatan maksimum hingga suhu yang diinginkan tercapai. | Indoor dan Outdoor sudah di lapisi Blue Fin.",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftke50yv14-ac-split-2-pk-beta-inverter-6751.html,2026-08-17
9,Daikin,STKH50YV,ALPHA Inverter,2 PK,FTKH50YV14,FTKH50YV14,RKH50YV14,DAIKIN FTKH50YV14 AC SPLIT 2 PK ALPHA INVERTER,AC Inverter,Putih,19000,19000 (6000 - 21200) BTU/h,1700,1700 (420 - 2200) Watt,5.57,R-32,5.9,77 x 29 x 25 cm,10,85 x 60 x 30 cm,35,1/4,1/2,30,20,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",35,"19000 Btu/h - Bisa mendinginkan ruangan sampai 35m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkc50qv-ac-split-2-pk-inverter-smile-putih-3038.html,2026-08-17
103,Daikin,STKZ50,ZETA Inverter,2 PK,FTKZ50XVM4,FTKZ50XVM4,RKZ50XVM4,DAIKIN FTKZ50XVM4 AC SPLIT 2 PK ZETA INVERTER THAILAND,AC Inverter,Putih,17700,17700 (4100 - 21200) BTU/h,1320,1320 (185 - 2000) Watt,5.2,R-32,7,110 x 24 x 30 cm,15,85 x 30 x 60 cm,34,1/4,1/2,,,,Thailand,"3 Tahun Sparepart, 3 Tahun Kompresor",32,"17700 Btu/h - Bisa mendinginkan ruangan sampai 32m2. | Garansi 3 Tahun Sparepart, 3 Tahun Kompresor. | Intelligent Eye - Intelligent Eye memiliki sensor inframerah yang mendeteksi gerakan manusia di zona kiri, kanan dan tengah. | Enzyme Blue Deodorizing Filter - Filter ini berguna untuk menghilangkan bau dan bakteri dengan daya serap yang luar biasa. Sehingga udara yang tersebar di dalam ruangan bisa didapatkan dengan maksimal. | Teknologi STREAMER - STREAMER bertugas mengurai virus, bakteri dan berbagai partikel berbahaya lainnya untuk memastikan kerja pemurnian udara berjalan optimal",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkm50svm4-ac-split-2pk-premium-inverter-thailand-5671.html,2026-08-17
154,Daikin,STV60CXV,Standar Nusantara,2.5 PK,FTV60CXV14,FTV60CXV14,,"DAIKIN FTV60CXV14 AC SPLIT 2,5 PK STANDARD MALAY LITE PUTIH",AC Standard,Putih,22000,22000 BTU/h,2115,2115 Watt,,R-32,3.49,107 x 22 x 31 cm,14,86 x 33 x 62 cm,41,1/4,1/2,,,alumunium,Malaysia,Garansi 1 Tahun Sparepart dan 3 Tahun Kompressor,41,"22000 Btu/h - Bisa mendinginkan ruangan sampai 41m2. | Garansi 1 Tahun Sparepart dan 3 Tahun Kompressor. | Mulai Ulang Otomatis - AC akan mengingat pengaturan mode operasi, dan secara otomatis kembali ke pengaturan tersebut ketika listrik kembali menyala. | Mode Powerful - Fungsi ini nyaman untuk meningkatkan pendinginan kinerja dalam waktu 20 menit. | R32 - Refrigeran ramah lingkungan dengan nol ODP (Ozone Depletion Potential) dan lebih cepat dingin.",,selka.id,https://www.selka.id/daikin-ftv60axv14-ac-split-wall-mounted-low-watt-r-32-putih-1723.html,2026-08-17
71,Daikin,STKH60YV,ALPHA Inverter,2.5 PK,FTKH60YV14,FTKH60YV14,RKH60YV14,"DAIKIN FTKH60YV14 AC SPLIT 2,5 PK ALPHA INVERTER",AC Inverter,Putih,22500,22500 (6600 - 24500) BTU/h,2000,2000 (380 - 2300) Watt,6.59,R-32,6.38,99 x 30 x 29 cm,13,85 x 60 x 30 cm,35,1/4,1/2,30,20,,Indonesia,"5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa",22,"22500 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 5 Tahun Sparepart, 5 Tahun Kompresor, 3 Tahun Jasa . | Gin ION Filter - Dirancang secara efektif menangkap dan menguraikan berbagai partiker berbahaya bagi kesehatan. | Low Voltage Protection - Secara otomatis mematikan AC saat daya listrik turun dibawah level tertentu. | Grey Hair Pin - Meningkatkan ketahanan evaporator terhadap korosi. | Indoor dan Outdoor sudah di lapisi Blue Fin. | Built In Wifi Adaptor",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkh60yv14-ac-split-25-pk-inverter-6741.html,2026-08-17
104,Daikin,STKZ60,ZETA Inverter,2.5 PK,FTKZ60XVM4,FTKZ60XVM4,RKZ60XVM4,"DAIKIN FTKZ60XVM4 AC SPLIT 2,5 PK ZETA INVERTER THAILAND",AC Inverter,Putih,20500,20500 (4100 - 24200) BTU/h,1600,1600 (220 - 2140) Watt,6.0,R-32,7.07,110 x 24 x 30 cm,15,85 x 30 x 60 cm,36,1/4,1/2,,,,Thailand,"3 Tahun Sparepart, 3 Tahun Kompresor",38,"20500 Btu/h - Bisa mendinginkan ruangan sampai 38m2. | Garansi 3 Tahun Sparepart, 3 Tahun Kompresor. | Intelligent Eye - Intelligent Eye memiliki sensor inframerah yang mendeteksi gerakan manusia di zona kiri, kanan dan tengah. | Enzyme Blue Deodorizing Filter - Filter ini berguna untuk menghilangkan bau dan bakteri dengan daya serap yang luar biasa. Sehingga udara yang tersebar di dalam ruangan bisa didapatkan dengan maksimal. | Teknologi STREAMER - STREAMER bertugas mengurai virus, bakteri dan berbagai partikel berbahaya lainnya untuk memastikan kerja pemurnian udara berjalan optimal",,selka.id + daikin.co.id,https://www.selka.id/daikin-ftkm60svm4-ac-split-2-5pk-inverter-putih-4872.html,2026-08-17
105,Daikin,STKZ71,ZETA Inverter,3 PK,FTKZ71XVM4,FTKZ71XVM4,RKZ71XVM4,DAIKIN FTKZ71XVM4 AC SPLIT 3 PK ZETA INVERTER,AC Inverter,Two Tone White (B-613) / Light Gray (B-617),24200,24.200 (4.100 - 25.900) BTU/h,2140,2.140 (220 - 2.800) Watt,7.1,R32,6.41,1.100 x 300 x 240 mm (P x T x L),15,845 x 595 x 300 mm (P x T x L),36,,,,,,,,,,,daikin.co.id,https://www.daikin.co.id/zeta-inverter,2026-08-17
140,Gree,GWC-05N1/A,N1/A Deluxe Standard Series,0.5 PK,GWC-05N1-05N1A,GWC-05N1-05N1A,,GREE GWC-05N1 / 05N1A AC SPLIT 1/2 PK DELUXE STANDARD BLACK DIAMOND FIN,AC Standard,Putih,5000,5000 BTU/h,385,385 Watt,,R-32,3.95,71 x 26 x 19 cm,8,71 x 45 x 29 cm,20,1/4,3/8,,,,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",10,"5000 Btu/h - Bisa mendinginkan ruangan sampai 10m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Outdoor I-Cool - Dapat beroperasi normal di lingkungan ekstrim dengan suhu maksimum mencapai 50°C. | Smart Cleaner System - Membersihkan secara otomatis bagian dalam AC. | Indoor Goldfin, Outdoor Blackfin.","Unit yang dikirimkan tergantung stok Antara GWC-05N1 / 05N1A. GWC-05N1 Made In China GWC-05N1A Made In Indonesia Spek semua sama, hanya perbedaan lokasi manufaktur part, Jika ingin tipe tertentu harap menghubungi Chat terlebih dahulu.",selka.id,https://www.selka.id/gree-gwc-05moo5-ac-split-standard-moo-5-series-1-2-pk-6110.html,2026-08-17
135,Gree,GWC-05F5S,F5S Inverter Series,0.5 PK,GWC-05F5S,GWC-05F5S,,GREE GWC-05F5S AC SPLIT INVERTER 1/2 PK,AC Inverter,Putih,5000,5000 (1706 - 8018) BTU/h,350,350 (190 - 630) Watt,,R-32,4.65,71 x 19 x 26 cm,8,71 x 29 x 45 cm,20,1/4,3/8,,,tembaga,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",9,"5000 Btu/h - Bisa mendinginkan ruangan sampai 9m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Fast-cooling “Turbo” - dapat mencapai kapasitas pendinginan tinggi dan pendinginan ruangan dapat tercapai ekstra cepat. | Smart Cleaner - Dapat membersihkan evaporator ac secara otomatis. | Mass Air Supply - Memberikan hembusan angin dengan maksimal dengan tingakt kebisingan 19 dB. | Evaporator dan kondensor dilapisin goldfin dan blue fin.",,selka.id,https://www.selka.id/gree-gwc-05f5s-ac-split-inverter-1-2-pk-6364.html,2026-08-17
141,Gree,GWC-07N1/A,N1/A Deluxe Standard Series,0.75 PK,GWC-07N1-07N1A,GWC-07N1-07N1A,,GREE GWC-07N1 / 07N1A AC SPLIT 3/4 PK DELUXE STANDARD BLACK DIAMOND FIN,AC Standard,Putih,7100,7100 BTU/h,590,590 Watt,,R-32,,71 x 26 x 19 cm,7,71 x 45 x 29 cm,20,1/4,3/8,,,,Indonesia,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",13,"7100 Btu/h - Bisa mendinginkan ruangan sampai 13m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Outdoor I-Cool - Dapat beroperasi normal di lingkungan ekstrim dengan suhu maksimum mencapai 50°C. | Smart Cleaner System - Membersihkan secara otomatis bagian dalam AC. | Indoor Goldfin, Outdoor Blackfin.","Unit yang dikirimkan tergantung stok Antara GWC-07N1 / 07N1A. GWC-07N1 Made In China GWC-07N1A Made In Indonesia Spek semua sama, hanya perbedaan lokasi manufaktur part, Jika ingin tipe tertentu harap menghubungi Chat terlebih dahulu.",selka.id,https://www.selka.id/gree-gwc-07n1a-ac-split-34-pk-deluxe-standard-black-diamond-fin-6665.html,2026-08-17
142,Gree,GWC-09N1/A,N1/A Deluxe Standard Series,1 PK,GWC-09N1-09N1A,GWC-09N1-09N1A,,GREE GWC-09N1 / 09N1A AC SPLIT 1 PK DELUXE STANDARD BLACK DIAMOND FIN,AC Standard,Putih,9000,9000 BTU/h,780,780 Watt,,R-32,,78 x 26 x 19 cm,7,71 x 45 x 29 cm,20,1/4,3/8,,,,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",17,"9300 Btu/h - Bisa mendinginkan ruangan sampai 17m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Outdoor I-Cool - Dapat beroperasi normal di lingkungan ekstrim dengan suhu maksimum mencapai 50°C. | Smart Cleaner System - Membersihkan secara otomatis bagian dalam AC. | Indoor Goldfin, Outdoor Blackfin.","Unit yang dikirimkan tergantung stok Antara GWC-09N1 / 09N1A. GWC-09N1 Made In China GWC-09N1A Made In Indonesia Spek semua sama, hanya perbedaan lokasi manufaktur part, Jika ingin tipe tertentu harap menghubungi Chat terlebih dahulu.",selka.id,https://www.selka.id/gree-gwc-09moo5-ac-split-standard-moo-5-series-1-pk-6112.html,2026-08-17
136,Gree,GWC-09F5S,F5S Inverter Series,1 PK,GWC-09F5S,GWC-09F5S,,GREE GWC-09F5S AC SPLIT INVERTER 1 PK,AC Inverter,Putih,9000,9000 (1706 - 10918) BTU/h,655,655 (330 - 950) Watt,,R-32,5.22,71 x 19 x 26 cm,8,71 x 29 x 45 cm,20,1/4,3/8,,,tembaga,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",16,"9000 Btu/h - Bisa mendinginkan ruangan sampai 16m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Fast-cooling “Turbo” - dapat mencapai kapasitas pendinginan tinggi dan pendinginan ruangan dapat tercapai ekstra cepat. | Smart Cleaner - Dapat membersihkan evaporator ac secara otomatis. | Mass Air Supply - Memberikan hembusan angin dengan maksimal dengan tingakt kebisingan 19 dB. | Evaporator dan kondensor dilapisin goldfin dan blue fin.",,selka.id,https://www.selka.id/gree-gwc-09f5s-ac-split-inverter-1-pk-6365.html,2026-08-17
145,Gree,GWC-09AIRY,AIRY Premium Inverter Series,1 PK,GWC-09AIRY,GWC-09AIRY,,GREE GWC-09AIRY AC SPLIT 1 PK PREMIUM INVERTER,AC Inverter,Silver / Putih,9900,9900 (2669 - 13477) BTU/h,620,620 (170 - 1330) Watt,,R-32,6.23,91 x 29 x 20 cm,9,81 x 56 x 35 cm,22,1/4,3/8,,,tembaga,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",18,"9900 Btu/h - Bisa mendinginkan ruangan sampai 18m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | G-Learning - Mengontrol mode operasi berdasarkan kebiasaan penggunaan AC. | UVC Lampu Ultraviolet - Mampu membunuh virus dan bakteri dalam udara. | Smart Voice Control - Hanya dengan satu suara saja, anda dapat mengontrol AC tanpa remote. | Evaporator dilapisi Blackfin dan kondensor dilapisin goldfin.",Tersedia dua warna yaitu Silver dan Putih Untuk saat ini yang tersedia warna Silver aja,selka.id,https://www.selka.id/gree-gwc-09airy-ac-split-1-pk-premium-inverter-6752.html,2026-08-17
143,Gree,GWC-12N1/A,N1/A Deluxe Standard Series,1.5 PK,GWC-12N1-12N1A,GWC-12N1-12N1A,,"GREE GWC-12N1 / 12N1A AC SPLIT 1,5 PK DELUXE STANDARD BLACK DIAMOND FIN",AC Standard,Putih,12000,12000 BTU/h,1000,1000 Watt,,R-32,,84 x 28 x 20 cm,9,74 x 56 x 35 cm,28,1/4,1/2,,,,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",22,"12000 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 1 Tahun Ganti Baru, 5 Tahun Sparepart, 10 Tahun Kompressor. | Outdoor I-Cool - Dapat beroperasi normal di lingkungan ekstrim dengan suhu maksimum mencapai 50°C. | Smart Cleaner System - Membersihkan secara otomatis bagian dalam AC. | Indoor Goldfin, Outdoor Blackfin.","Unit yang dikirimkan tergantung stok Antara GWC-12N1 / 12N1A. GWC-12N1 Made In China GWC-12N1A Made In Indonesia Spek semua sama, hanya perbedaan lokasi manufaktur part, Jika ingin tipe tertentu harap menghubungi Chat terlebih dahulu.",selka.id,https://www.selka.id/gree-gwc-12n1a-ac-split-standard-1-5-pk-6113.html,2026-08-17
137,Gree,GWC-12F5S,F5S Inverter Series,1.5 PK,GWC-12F5S,GWC-12F5S,,"GREE GWC-12F5S AC SPLIT INVERTER 1,5 PK",AC Inverter,Putih,12100,12100 (1200 - 14300) BTU/h,1170,1170 (320 - 1600) Watt,,R-32,5.02,78 x 19 x 26 cm,9,74 x 33 x 55 cm,23,1/4,3/8,,,tembaga,China,"1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor",22,"12100 Btu/h - Bisa mendinginkan ruangan sampai 22m2. | Garansi 1 Tahun Ganti Baru (S&K Berlaku), 5 Tahun Sparepart, 10 Tahun Kompressor. | Fast-cooling “Turbo” - dapat mencapai kapasitas pendinginan tinggi dan pendinginan ruangan dapat tercapai ekstra cepat. | Smart Cleaner - Dapat membersihkan evaporator ac secara otomatis. | Mass Air Supply - Memberikan hembusan angin dengan maksimal dengan tingakt kebisingan 19 dB. | Evaporator dan kondensor dilapisin goldfin dan blue fin.",,selka.id,https://www.selka.id/gree-gwc-12f5s-ac-split-inverter-1-5-pk-6366.html,2026-08-17
